"outcome","group_variable","group_label","n","n_flag","pct_lib","pct_con","pct_ndp","pct_bq","pct_grn","pct_other","pct_none","none_label","year","dataset","mode"
"party_identity","age_group","18 to 24",526,"large (n 100+)",29.9,18.4,14.9,2.7,11.2,0.6,22.3,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","25 to 34",821,"large (n 100+)",30.6,26,15.3,3.6,8.1,0.9,15.5,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","35 to 44",819,"large (n 100+)",28.7,25.5,13.1,4.4,6.5,0.5,21.4,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","45 to 54",914,"large (n 100+)",29.5,29.8,9.5,5.5,4.2,0.8,20.7,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","55 to 64",900,"large (n 100+)",30.4,30,9.6,5.4,4.7,0.6,19.4,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","65 to 74",986,"large (n 100+)",32.8,29.3,8.6,8.7,3.4,0.9,16.3,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","75 and over",101,"large (n 100+)",38.6,29.8,6.1,7.1,4.9,0,13.6,"no party identification",2019,"CDEM2019","online"
"party_identity","education_binary","College degree+",3448,"large (n 100+)",32.3,27.7,11.7,4.8,5.5,0.7,17.2,"no party identification",2019,"CDEM2019","online"
"party_identity","education_binary","No college degree",1612,"large (n 100+)",26.9,26,10.6,6.4,6.9,0.7,22.4,"no party identification",2019,"CDEM2019","online"
"party_identity","gender","Men",2433,"large (n 100+)",31.3,31.5,9.1,5.7,5,0.9,16.4,"no party identification",2019,"CDEM2019","online"
"party_identity","gender","Women",2615,"large (n 100+)",29.9,23.2,13.4,5,6.8,0.5,21.3,"no party identification",2019,"CDEM2019","online"
"party_identity","immigrant_generation","Canadian-born",4156,"large (n 100+)",29.6,26.9,11.9,6.3,6,0.7,18.7,"no party identification",2019,"CDEM2019","online"
"party_identity","immigrant_generation","Foreign-born (1st gen)",898,"large (n 100+)",35.3,28.6,9,0.9,5.6,0.8,19.7,"no party identification",2019,"CDEM2019","online"
"party_identity","income_quartile","Q1 (< $30K)",394,"large (n 100+)",24.5,17.7,11.7,6.9,8,1.4,29.8,"no party identification",2019,"CDEM2019","online"
"party_identity","income_quartile","Q2 ($30K-$60K)",360,"large (n 100+)",26.3,24.4,12.1,5.3,5.2,0.3,26.4,"no party identification",2019,"CDEM2019","online"
"party_identity","income_quartile","Q3 ($60K-$110K)",416,"large (n 100+)",32.4,26.6,11,3,4.9,0.5,21.7,"no party identification",2019,"CDEM2019","online"
"party_identity","income_quartile","Q4 ($110K+)",330,"large (n 100+)",25.2,28.3,10.9,2.4,4,0,29.2,"no party identification",2019,"CDEM2019","online"
"party_identity","language","English",3300,"large (n 100+)",31.3,31.2,12.7,0.2,6.3,0.6,17.7,"no party identification",2019,"CDEM2019","online"
"party_identity","language","French",1178,"large (n 100+)",26.3,15.8,8.3,22,5.8,0.9,20.9,"no party identification",2019,"CDEM2019","online"
"party_identity","language","Other",568,"large (n 100+)",34.6,28.1,10.6,0.2,4.4,0.9,21.3,"no party identification",2019,"CDEM2019","online"
"party_identity","marital_status","Divorced/Separated",515,"large (n 100+)",30.5,21.6,12.9,8.6,5.9,1,19.6,"no party identification",2019,"CDEM2019","online"
"party_identity","marital_status","Married/Partnered",3026,"large (n 100+)",30.5,31.1,9.9,5.3,5.2,0.7,17.4,"no party identification",2019,"CDEM2019","online"
"party_identity","marital_status","Never Married",1354,"large (n 100+)",30.7,20.9,14.1,4,8,0.8,21.4,"no party identification",2019,"CDEM2019","online"
"party_identity","marital_status","Widowed",132,"large (n 100+)",30.3,26.5,11.4,10,1.6,0,20.2,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Alberta",573,"large (n 100+)",21,44.8,12.7,0.3,4.4,1.6,15.1,"no party identification",2019,"CDEM2019","online"
"party_identity","province","British Columbia",676,"large (n 100+)",31,26,15.6,0.1,8.8,0.2,18.3,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Manitoba",180,"large (n 100+)",25.8,33.6,13.8,0,4.1,0.5,22.1,"no party identification",2019,"CDEM2019","online"
"party_identity","province","New Brunswick",107,"large (n 100+)",35,19.1,4.5,0,12.6,0,28.8,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Newfoundland and Labrador",77,"medium (n 30-99)",38,27.9,8,0,0,1.4,24.7,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Nova Scotia",138,"large (n 100+)",31.5,19.8,10.1,0,4.5,0.7,33.5,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Ontario",1964,"large (n 100+)",34.7,30,11.9,0.1,5.8,0.6,16.8,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Quebec",1175,"large (n 100+)",28.6,14.2,7.7,22.4,5.8,0.9,20.5,"no party identification",2019,"CDEM2019","online"
"party_identity","province","Saskatchewan",153,"large (n 100+)",21.8,37.6,15.7,0,3.3,0,21.6,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","Chinese",350,"large (n 100+)",29.7,31.9,9.4,0.6,5.7,0.3,22.5,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","Hispanic/Latin American",49,"medium (n 30-99)",42.9,24.7,10.1,0,4.1,2.1,16.1,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","Indigenous",190,"large (n 100+)",30,18.3,12.8,6.4,10.2,0.5,21.8,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","Other",491,"large (n 100+)",35.9,25.3,12.3,0,5.4,1,20.1,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","South Asian",113,"large (n 100+)",43,22.1,13.5,0,10.9,0,10.5,"no party identification",2019,"CDEM2019","online"
"party_identity","race_ethnicity","White/European",3545,"large (n 100+)",29.7,27.6,11.6,7.1,5.9,0.6,17.5,"no party identification",2019,"CDEM2019","online"
"party_identity","region","Alberta",573,"large (n 100+)",21,44.8,12.7,0.3,4.4,1.6,15.1,"no party identification",2019,"CDEM2019","online"
"party_identity","region","Atlantic",341,"large (n 100+)",35.2,21.4,7.2,0,6.1,0.6,29.6,"no party identification",2019,"CDEM2019","online"
"party_identity","region","British Columbia",676,"large (n 100+)",31,26,15.6,0.1,8.8,0.2,18.3,"no party identification",2019,"CDEM2019","online"
"party_identity","region","Ontario",1964,"large (n 100+)",34.7,30,11.9,0.1,5.8,0.6,16.8,"no party identification",2019,"CDEM2019","online"
"party_identity","region","Prairies",333,"large (n 100+)",24,35.4,14.7,0,3.7,0.3,21.9,"no party identification",2019,"CDEM2019","online"
"party_identity","region","Quebec",1175,"large (n 100+)",28.6,14.2,7.7,22.4,5.8,0.9,20.5,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Buddhist",72,"medium (n 30-99)",26.5,21.6,17.2,0,15.2,1.3,18.1,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Catholic",1412,"large (n 100+)",33.2,24.6,9,11.4,3.6,1,17.2,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Evangelical",116,"large (n 100+)",13.8,57.4,8.7,0.8,3.5,0.9,14.9,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Hindu",67,"medium (n 30-99)",46.5,22.4,10,1.5,9.2,0,10.4,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Jewish",69,"medium (n 30-99)",43.2,39.5,5.8,1.3,4.2,0,6,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Muslim",88,"medium (n 30-99)",61,3.4,10.1,0,7.8,0,17.7,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","None/Agnostic",1782,"large (n 100+)",28.8,21.6,14.2,4.8,7.9,0.4,22.3,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Orthodox",67,"medium (n 30-99)",22.5,46.1,9.1,0,2.8,0,19.5,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Other",191,"large (n 100+)",22,28.2,11.4,2.6,7.7,2.1,26,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_affiliation","Protestant (mainline)",877,"large (n 100+)",31.2,39.7,9.7,1,4.6,0.6,13.2,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_importance","Not important at all",1629,"large (n 100+)",30.4,21.2,12.3,7.2,7,0.5,21.3,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_importance","Not very important",1232,"large (n 100+)",31.3,25.1,12.8,6.9,6.7,0.5,16.8,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_importance","Somewhat important",1291,"large (n 100+)",32.5,29.8,10.3,4,4.9,0.8,17.7,"no party identification",2019,"CDEM2019","online"
"party_identity","religion_importance","Very important",790,"large (n 100+)",28,39.7,9,1.8,4.1,1.1,16.2,"no party identification",2019,"CDEM2019","online"
"party_identity","age_group","18 to 24",211,"large (n 100+)",32.5,38.6,6.8,2.7,3.8,0.5,15.2,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","25 to 34",1174,"large (n 100+)",33,28,9.8,8.3,3.4,1.5,16,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","35 to 44",1449,"large (n 100+)",32,29.9,8.2,7.5,3.4,1.3,17.7,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","45 to 54",1512,"large (n 100+)",30.6,26.1,9.6,9,4.1,1,19.6,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","55 to 64",1342,"large (n 100+)",30.4,23.9,10.9,7.8,4.5,1,21.5,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","65 to 74",1341,"large (n 100+)",33.7,20.7,15.4,5.2,6,1,18,"no party identification",2020,"CDEM2020","online"
"party_identity","age_group","75 and over",1069,"large (n 100+)",33.3,16.4,18.8,3.2,9.2,0.2,19,"no party identification",2020,"CDEM2020","online"
"party_identity","education_binary","College degree+",5771,"large (n 100+)",33.3,25.3,11.8,6.1,4.9,1,17.6,"no party identification",2020,"CDEM2020","online"
"party_identity","education_binary","No college degree",2381,"large (n 100+)",29.5,23.6,11.6,8.5,5.3,0.9,20.5,"no party identification",2020,"CDEM2020","online"
"party_identity","gender","Men",3947,"large (n 100+)",32.7,29.4,9.9,6.6,4.6,1.2,15.6,"no party identification",2020,"CDEM2020","online"
"party_identity","gender","Non-binary",36,"medium (n 30-99)",21.5,8.5,32,2.6,7.9,0,27.5,"no party identification",2020,"CDEM2020","online"
"party_identity","gender","Women",4187,"large (n 100+)",31.7,20.5,13.4,7,5.4,0.8,21.3,"no party identification",2020,"CDEM2020","online"
"party_identity","immigrant_generation","2nd gen (Canadian-born, foreign parent)",1742,"large (n 100+)",37,26.2,13.6,1.3,5,1,16,"no party identification",2020,"CDEM2020","online"
"party_identity","immigrant_generation","Canadian-born",4981,"large (n 100+)",28.9,24.4,11.3,10.4,5.2,1.1,18.7,"no party identification",2020,"CDEM2020","online"
"party_identity","immigrant_generation","Foreign-born (1st gen)",1422,"large (n 100+)",37.9,24.5,11,1.2,4.2,0.7,20.5,"no party identification",2020,"CDEM2020","online"
"party_identity","income_quartile","Q1 (< $30K)",399,"large (n 100+)",29.2,13.3,12.6,7.7,6.4,1.5,29.3,"no party identification",2020,"CDEM2020","online"
"party_identity","income_quartile","Q2 ($30K-$60K)",510,"large (n 100+)",28.7,21.6,12.2,7.8,6.2,0.7,22.8,"no party identification",2020,"CDEM2020","online"
"party_identity","income_quartile","Q3 ($60K-$110K)",664,"large (n 100+)",31.6,22.8,12,6.6,5.6,0.4,21,"no party identification",2020,"CDEM2020","online"
"party_identity","income_quartile","Q4 ($110K+)",426,"large (n 100+)",30,29.6,10.9,6.5,3.4,0.9,18.6,"no party identification",2020,"CDEM2020","online"
"party_identity","language","English",5423,"large (n 100+)",34.2,28.9,13.1,0.1,5,0.8,17.8,"no party identification",2020,"CDEM2020","online"
"party_identity","language","French",2019,"large (n 100+)",25.2,13.6,8.6,26.8,5.3,1.5,19,"no party identification",2020,"CDEM2020","online"
"party_identity","language","Other",660,"large (n 100+)",37.5,26.6,10.8,0.7,3.9,1.2,19.3,"no party identification",2020,"CDEM2020","online"
